Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Apr,4,Monday,VW,Urban,Monday,Apr,4,Male,Single,61,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2055,5,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000918
Feb,4,Friday,Honda,Urban,Friday,Feb,4,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13837,16,400,3,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000333
Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,100,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000092
Nov,2,Wednesday,Pontiac,Urban,Monday,Nov,2,Male,Single,26,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,5615,3,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,CUST-001463
Aug,3,Thursday,Pontiac,Urban,Friday,Aug,3,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,5776,5,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,CUST-000612
Dec,1,Saturday,Toyota,Urban,Monday,Dec,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14773,3,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-001101
Nov,4,Friday,Pontiac,Rural,Tuesday,Nov,5,Male,Single,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1091,9,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000519
Jun,5,Friday,Chevrolet,Urban,Thursday,Jul,2,Male,Single,56,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13238,4,700,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,CUST-000986
Feb,1,Tuesday,Chevrolet,Urban,Thursday,Feb,2,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5313,3,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000867
May,1,Monday,Mazda,Urban,Thursday,May,2,Female,Married,55,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7810,16,400,2,more than 30,more than 30,none,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000068
Oct,5,Tuesday,Chevrolet,Urban,Monday,Nov,1,Male,Single,33,Third Party,Sedan - Liability,Sport,more than 69000,0,2440,8,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-001060
Oct,5,Friday,Toyota,Urban,Tuesday,Nov,1,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7498,5,500,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,2 to 3 years,2 vehicles,1995,All Perils,CUST-000289
Jul,4,Thursday,Pontiac,Urban,Thursday,Aug,1,Male,Married,38,Policy Holder,Utility - All Perils,Utility,40000 to 59000,1,13799,15,400,3,8 to 15,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-001191
Dec,2,Friday,Pontiac,Urban,Monday,Dec,2,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14768,2,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,CUST-000428
Jan,5,Monday,Chevrolet,Urban,Wednesday,Feb,1,Male,Married,62,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11827,13,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001423
Feb,4,Thursday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7502,2,400,3,more than 30,more than 30,1,4 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-000743
Sep,2,Saturday,Accura,Urban,Monday,Sep,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1684,15,500,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,CUST-000001
Jul,4,Sunday,Pontiac,Urban,Friday,Aug,1,Male,Married,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5538,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-001039
May,1,Thursday,Honda,Urban,Thursday,May,1,Male,Single,47,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13162,8,400,1,more than 30,more than 30,more than 4,new,41 to 50,No,No,External,none,no change,3 to 4,1996,Liability,CUST-001197
Aug,4,Thursday,Mazda,Urban,Monday,Sep,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12974,12,400,1,none,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-000710
Dec,4,Sunday,Pontiac,Urban,Tuesday,Nov,3,Male,Divorced,32,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2326,1,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000874
Sep,3,Tuesday,Pontiac,Urban,Tuesday,Oct,2,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14681,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1996,Collision,CUST-000879
Feb,4,Thursday,Toyota,Urban,Thursday,Feb,4,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,5280,6,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-001072
May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Male,Single,21,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2406,6,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000008
Mar,4,Thursday,Honda,Urban,Friday,Mar,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5854,6,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000364
May,3,Saturday,Pontiac,Urban,Wednesday,May,3,Male,Single,21,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6909,11,400,2,15 to 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000976
Jul,3,Saturday,Mazda,Urban,Monday,Jul,3,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8944,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-000727
Oct,5,Saturday,Mercury,Urban,Thursday,Nov,2,Male,Married,63,Policy Holder,Utility - All Perils,Utility,30000 to 39000,0,8930,6,400,1,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-000750
Apr,5,Sunday,Toyota,Urban,Tuesday,May,1,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,4709,9,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-000604
May,1,Friday,Toyota,Urban,Tuesday,May,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9605,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-000143
Aug,5,Thursday,Pontiac,Urban,Tuesday,Sep,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5164,14,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-000131
Oct,3,Wednesday,Mazda,Urban,Wednesday,Oct,3,Male,Married,33,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8479,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000443
Apr,2,Tuesday,Ford,Urban,Tuesday,Apr,3,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,2806,15,500,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,All Perils,CUST-000498
Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,252,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000583
Jun,4,Wednesday,Toyota,Urban,Thursday,Jun,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,14847,12,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-000033
Jun,2,Thursday,Mazda,Urban,Friday,Jun,2,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5170,15,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-001436
May,5,Sunday,Pontiac,Rural,Monday,May,5,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12681,5,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001253
Dec,1,Monday,Toyota,Urban,Monday,Dec,1,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3985,11,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-000559
Apr,2,Wednesday,Chevrolet,Rural,Friday,May,1,Male,Married,56,Third Party,Sedan - Liability,Sport,40000 to 59000,0,4636,7,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,CUST-000562
Oct,4,Friday,Chevrolet,Urban,Monday,Oct,5,Female,Married,31,Third Party,Sedan - All Perils,Sedan,more than 69000,0,15240,2,400,1,more than 30,more than 30,1,4 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1996,All Perils,CUST-000971
Sep,2,Tuesday,Chevrolet,Urban,Thursday,Sep,5,Female,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4334,2,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-000745
Dec,4,Tuesday,Toyota,Urban,Wednesday,Dec,4,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12961,6,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001128
Mar,1,Wednesday,Mazda,Urban,Thursday,Mar,1,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10775,12,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-001390
Aug,4,Friday,Mazda,Rural,Tuesday,Aug,5,Male,Married,44,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,908,7,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-001206
Apr,1,Monday,Chevrolet,Rural,Monday,Apr,1,Female,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,765,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000233
Dec,3,Wednesday,Honda,Urban,Thursday,Dec,4,Female,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11403,11,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-000677
Jun,1,Friday,Pontiac,Urban,Friday,Jun,1,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10680,15,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-000698
Nov,1,Monday,Honda,Urban,Monday,Nov,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6393,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-000163
May,2,Wednesday,Pontiac,Urban,Monday,Jun,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,13703,12,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-001292
Jan,3,Tuesday,Toyota,Urban,Wednesday,Jan,3,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14728,1,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-000998
Oct,1,Wednesday,Mazda,Urban,Thursday,Oct,2,Male,Married,33,Third Party,Sport - Collision,Sport,more than 69000,0,6699,12,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001244
Jan,2,Tuesday,Honda,Urban,Friday,Jan,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,543,12,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000704
Apr,1,Tuesday,Mazda,Urban,Friday,Apr,2,Female,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5533,7,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-001271
Oct,4,Sunday,Honda,Urban,Friday,Oct,5,Male,Married,41,Third Party,Sport - Collision,Sport,more than 69000,0,7496,13,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-001125
Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,103,14,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils,CUST-000114
May,2,Sunday,Honda,Urban,Tuesday,May,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9882,2,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1995,Collision,CUST-000280
Jul,2,Monday,Pontiac,Urban,Friday,Jul,3,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14211,9,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001056
Oct,2,Sunday,Pontiac,Urban,Tuesday,Oct,2,Male,Married,28,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,7048,11,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000978
Nov,1,Thursday,Toyota,Urban,Monday,Dec,2,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,926,14,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-000849
Apr,1,Saturday,VW,Urban,Monday,Apr,1,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,14196,9,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-000858
Nov,2,Sunday,Mazda,Urban,Tuesday,Nov,3,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9683,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-000644
Jul,3,Friday,Toyota,Urban,Monday,Jul,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13528,12,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-001260
Feb,4,Tuesday,Chevrolet,Urban,Monday,Mar,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5380,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000885
Jun,4,Wednesday,Toyota,Urban,Monday,Jul,1,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4640,4,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-000782
Nov,3,Friday,Toyota,Urban,Monday,Nov,3,Female,Single,67,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12923,5,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,1 year,1 vehicle,1996,Liability,CUST-001414
Jan,1,Tuesday,Chevrolet,Urban,Monday,Jan,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15238,10,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-000673
Apr,1,Wednesday,Toyota,Urban,Wednesday,Apr,1,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5218,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-001453
Dec,2,Wednesday,Toyota,Rural,Monday,Dec,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12546,15,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-001442
Feb,1,Wednesday,Mercury,Urban,Friday,Feb,1,Male,Single,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14404,1,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-001195
Oct,3,Friday,Pontiac,Urban,Thursday,Nov,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5454,13,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1994,Collision,CUST-000413
Oct,2,Monday,Pontiac,Urban,Monday,Oct,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,6132,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-000992
Dec,4,Wednesday,Toyota,Urban,Thursday,Dec,5,Male,Married,33,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4689,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-000487
Mar,4,Monday,Mazda,Urban,Tuesday,Apr,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5606,6,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,CUST-001047
Feb,4,Sunday,Toyota,Urban,Monday,Feb,4,Male,Married,77,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,388,10,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-000614
Sep,4,Thursday,Honda,Urban,Monday,Sep,4,Male,Single,25,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11504,5,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-001281
Dec,4,Tuesday,VW,Urban,Tuesday,Jan,1,Male,Single,43,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8194,15,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-000775
Feb,5,Monday,Pontiac,Urban,Monday,Feb,5,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7643,1,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-001124
Aug,5,Wednesday,Chevrolet,Urban,Tuesday,Sep,2,Male,Married,46,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,11489,15,400,3,1 to 7,more than 30,1,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,1996,Collision,CUST-000532
Jan,5,Tuesday,Honda,Urban,Wednesday,Feb,1,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12084,10,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-000709
Sep,2,Saturday,Toyota,Urban,Monday,Sep,2,Male,Married,70,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8280,5,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-001365
Jun,1,Sunday,Toyota,Urban,Tuesday,Jun,1,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14518,15,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-000093
Oct,5,Tuesday,Toyota,Rural,Friday,Nov,1,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9001,15,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,CUST-000530
Sep,2,Friday,Chevrolet,Urban,Monday,Sep,2,Male,Married,65,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,6386,1,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-000285
Aug,1,Saturday,Toyota,Urban,Tuesday,Aug,2,Male,Married,56,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14888,3,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,CUST-000574
